name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Prosthecochloris aestuarii	1102	S	10	0	10	0.00000
Chlorobium phaeobacteroides	1096	S	57	0	57	0.00000
Rhodocaloribacter litoris	2558931	S	219	3	222	0.00001
Rhodothermus marinus	29549	S	150	2	152	0.00001
Salinibacter ruber	146919	S	209	13	222	0.00001
Fibrobacter succinogenes	833	S	81	0	81	0.00000
Gemmatimonas groenlandica	2732249	S	28	0	28	0.00000
Gemmatimonas aurantiaca	173480	S	18	0	18	0.00000
Gemmatirosa kalamazoonensis	861299	S	31	1	32	0.00000
Candidatus Cloacimonas acidaminovorans	456827	S	10	0	10	0.00000
Faecalibacterium sp. I4-1-79	2929494	S	217699	163282	380981	0.01575
Faecalibacterium sp. I3-3-33	2929492	S	53874	30061	83935	0.00347
Faecalibacterium sp. IP-3-29	2929489	S	52893	105214	158107	0.00654
Faecalibacterium sp. I3-3-89	2929493	S	41551	14737	56288	0.00233
Faecalibacterium sp. I4-3-84	2929495	S	40175	45527	85702	0.00354
Faecalibacterium sp. HTF-F	2929491	S	16081	6872	22953	0.00095
Faecalibacterium sp. I2-3-92	2929490	S	14626	31269	45895	0.00190
Faecalibacterium sp. IP-1-18	2929488	S	12089	58194	70283	0.00291
Faecalibacterium prausnitzii	853	S	187990	118584	306574	0.01267
Faecalibacterium duncaniae	411483	S	24049	56145	80194	0.00332
Dysosmobacter welbionis	2093857	S	150224	28156	178380	0.00737
Lawsonibacter asaccharolyticus	2108523	S	131480	9813	141293	0.00584
Flavonifractor plautii	292800	S	88304	6244	94548	0.00391
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	36158	2007	38165	0.00158
Ruminococcus sp. SR1/5	657323	S	419	2231	2650	0.00011
Ruminococcus champanellensis	1161942	S	1085	33	1118	0.00005
Ruminococcus albus	1264	S	305	1	306	0.00001
Ruminococcus gauvreauii	438033	S	145	11	156	0.00001
Ruminococcus bovis	2564099	S	118	1	119	0.00000
Pusillibacter faecalis	2714358	S	28558	2873	31431	0.00130
Vescimonas coprocola	2714355	S	17083	4289	21372	0.00088
Vescimonas fastidiosa	2714353	S	8621	2126	10747	0.00044
Ruthenibacterium lactatiformans	1550024	S	22897	1363	24260	0.00100
Subdoligranulum variabile	214851	S	14846	1198	16044	0.00066
Anaerotruncus colihominis	169435	S	6665	951	7616	0.00031
Oscillibacter hominis	2763056	S	3734	283	4017	0.00017
Solibaculum mannosilyticum	2780922	S	1436	215	1651	0.00007
Agathobaculum sp. NTUH-O15-33	3079302	S	1192	11	1203	0.00005
Caproicibacterium sp. ZCY20-5	3030016	S	254	20	274	0.00001
Caproicibacterium sp. BJN0003	2994078	S	177	7	184	0.00001
Caproicibacterium lactatifermentans	2666138	S	247	18	265	0.00001
Caproicibacterium amylolyticum	2766537	S	136	6	142	0.00001
