name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Clostridium kluyveri	0	0	1e-5	0	0	0
Clostridium saccharobutylicum	0	0	0	0	0	0
Clostridium botulinum	0	3e-5	2e-5	0	0	1e-5
Clostridium sporogenes	0	1e-5	0	1e-5	0	0
Clostridium beijerinckii	0	1e-5	1e-5	1e-5	0	0
Clostridium isatidis	0	1e-5	0	0	0	0
Clostridium tetani	0	0	1e-5	0	0	1e-5
Clostridium tyrobutyricum	0	0	0	0	0	0
Clostridium cellulovorans	0	0	1e-5	0	0	0
Clostridium saccharoperbutylacetonicum	0	2e-5	1e-5	0	0	0
Clostridium fermenticellae	0	0	1e-5	0	0	0
Clostridium cochlearium	0	0	0	0	0	0
Clostridium bornimense	0	0	1e-5	0	0	0
Clostridium manihotivorum	0	0	0	0	0	0
Clostridium gelidum	0	0	1e-5	0	0	0
Clostridium autoethanogenum	0	0	0	0	0	0
Clostridium tagluense	0	0	0	0	0	0
Clostridium argentinense	0	1e-5	0	0	0	0
Clostridium chauvoei	0	1e-5	0	0	0	1e-5
Clostridium septicum	0	1e-5	0	0	0	0
Clostridium baratii	0	1e-5	0	0	0	0
Clostridium novyi	0	0	0	0	0	0
Clostridium acetobutylicum	0	1e-5	1e-5	0	0	1e-5
Clostridium carboxidivorans	0	0	0	0	0	0
Clostridium gasigenes	0	1e-5	0	0	0	0
Clostridium aceticum	0	0	0	0	0	0
Clostridium felsineum	0	0	0	0	0	0
Hungatella hathewayi	2.6e-4	1.1e-4	5.1e-4	1e-4	6e-5	2.3e-4
Hungatella xylanolytica	1e-5	1e-5	1e-5	0	0	0
Proteiniclasticum sp. QWL-01	1e-5	0	2e-5	0	0	2e-5
Caloramator sp. mosi_1	0	0	3e-5	0	0	1e-5
Caloramator sp. E03	0	0	1e-5	0	0	1e-5
Caloramator sp. Dgby_cultured_2	0	0	1e-5	0	0	0
Geosporobacter ferrireducens	1e-5	0	0	0	0	0
Alkaliphilus metalliredigens	0	0	0	0	0	0
Crassaminicella profunda	0	0	0	0	0	0
Crassaminicella thermophila	0	0	0	0	0	0
Butyricicoccus sp. GAM44	0	0	2e-5	1e-5	0	1e-5
Oceanirhabdus sp. W0125-5	0	0	0	0	0	0
Serpentinicella alkaliphila	0	0	0	0	0	0
Candidatus Arthromitus sp. SFB-rat-Yit	0	0	0	0	0	0
Paraclostridium bifermentans	0	0	0	0	0	0
Sarcina sp. JB2	0	0	0	0	0	0
Clostridioides difficile	8.3e-4	2.1e-4	0.00182	7.1e-4	1.2e-4	6.8e-4
Romboutsia ilealis	0	0	1e-5	0	0	0
Romboutsia sp. CE17	0	0	0	0	0	0
Filifactor alocis	0	0	2e-5	0	0	0
Paeniclostridium sordellii	0	0	1e-5	0	0	0
Tepidibacter sp. 8C15b	0	0	0	0	0	0
Tepidibacter hydrothermalis	0	0	0	0	0	0
Peptoclostridium acidaminophilum	0	0	2e-5	1e-5	0	1e-5
Peptostreptococcus sp. CBA3647	0	0	0	0	0	0
Peptacetobacter hiranonis	0	1e-5	0	0	0	0
Aristaeella hokkaidonensis	4.1e-4	0	2.6e-4	3e-5	2e-5	2.3e-4
Aristaeella lactis	1.7e-4	0	2.1e-4	1e-5	1e-5	1.4e-4
Maliibacterium massiliense	5e-5	2e-5	7.7e-4	1.3e-4	2e-5	4.1e-4
